f_slot,f_block_size
5913131,0.8923864365
5913132,0.8502311707
5913133,0.8232269287
5918962,0.8737678528
5928007,0.9400959015
5930859,0.8137044907
5934014,0.8804893494
5934015,0.8813867569
5948235,1.016383171
5961603,0.9727392197
5961666,0.999830246
5961700,0.9889154434
5961702,1.066553116
6008402,0.8087234497
6008481,0.9211235046
6008482,1.018978119
6008483,0.9952039719
6049802,0.8160934448
6049945,0.8154277802
6050731,0.8114347458
6062949,0.8136873245
6062980,0.9097242355
6062982,1.079809189
6062983,0.8076505661
6063000,0.8150272369
6063001,0.9347925186
6063002,1.071314812
6063003,1.214466095
6069924,0.9101600647
6077697,0.9282884598
6081069,0.9486818314
6081071,0.9585800171
6115510,0.9410867691
6120669,1.705252647
6141554,0.9409322739
6141601,0.957444191
6141603,0.8835792542
6144319,0.8519697189
6150453,1.037834167
6209716,0.8084793091
6217399,0.8545331955
6255566,0.9369564056
6257428,0.8761768341
6259245,1.000432968
6264566,0.9051742554
6265114,0.915930748
6280043,1.047956467
6280045,0.9174051285
6294005,1.085046768
6294013,0.9208488464
6343943,1.56814003
6356658,0.8396320343
6379216,0.9982290268
6408892,1.089489937
6408918,1.066570282
6417848,0.9460010529
6424381,0.9769687653
6424383,1.086390495
6430112,1.025201797
6434946,1.033668518
6437567,0.8476848602
6442585,0.8132867813
6447679,0.8437261581
6448699,1.171451569
6450782,0.8348169327
6450786,1.597520828
6450858,0.9560279846
6450994,0.8365955353
6451037,0.917429924
6451529,0.9615354538
6451943,0.8541154861
6452127,1.082929611
6455872,0.8471813202
6455982,1.155231476
6456763,0.8778362274
6457975,0.9134969711
6457980,0.9442815781
6459134,1.391349792
6459135,1.189164162
6460103,0.8065481186
6462842,0.8270568848
6463562,0.8238964081
6469698,0.8881607056
6471695,0.8507766724
6487387,0.8944768906
6487416,0.8970413208
6487609,2.009336472
6487610,0.9150161743
6495347,0.9700632095
6501596,0.8882036209
6502336,0.9977741241
6503267,0.8306798935
6507058,0.8021097183
6509204,0.9513940811
6510200,0.8118886948
6510204,0.8943386078
6515009,1.028579712
6522215,0.929649353
6522217,0.8339071274
